,type,year,tuition_type,tuition_cost,tuition_2,avg_tuition,1_year_change_tuition,total_change_tuition,cpi,1_year_change_cpi,total_change_cpi
166,All Institutions,2009-10,4 Year Current,21126,21126,21126,3.635025754231047,15622.0,214.537,-0.3557776714676497,99.38382899628255
167,All Institutions,2009-10,2 Year Current,8541,8541,8541,3.8040836169178416,5174.0,214.537,-0.3557776714676497,99.38382899628255
168,Private,2009-10,All Constant,35089,36624,35856,6.9402606698678815,15611.0,214.537,-0.3557776714676497,99.38382899628255
169,Private,2009-10,4 Year Constant,35655,37215,36435,6.976129657359298,15407.0,214.537,-0.3557776714676497,99.38382899628255
170,Private,2009-10,2 Year Constant,27389,28587,27988,4.937947583517688,13150.0,214.537,-0.3557776714676497,99.38382899628255
171,Private,2009-10,All Current,31341,31341,31341,16.47465437788018,22456.0,214.537,-0.3557776714676497,99.38382899628255
172,Private,2009-10,4 Year Current,31847,31847,31847,16.514835546774954,21919.0,214.537,-0.3557776714676497,99.38382899628255
173,Private,2009-10,2 Year Current,24463,24463,24463,14.291721173612416,17951.0,214.537,-0.3557776714676497,99.38382899628255
174,All Institutions,2010-11,All Constant,20278,21165,20721,2.614767493685921,9590.0,218.056,1.6402765024214894,102.65427509293683
175,All Institutions,2010-11,4 Year Constant,24227,25287,24757,2.432868550622702,12215.0,218.056,1.6402765024214894,102.65427509293683
176,All Institutions,2010-11,2 Year Constant,9733,10159,9946,1.7910142257701267,2274.0,218.056,1.6402765024214894,102.65427509293683
177,All Institutions,2010-11,All Current,18475,18475,18475,4.674220963172804,13590.0,218.056,1.6402765024214894,102.65427509293683
178,All Institutions,2010-11,4 Year Current,22074,22074,22074,4.487361545015611,16570.0,218.056,1.6402765024214894,102.65427509293683
179,All Institutions,2010-11,2 Year Current,8868,8868,8868,3.828591499824374,5501.0,218.056,1.6402765024214894,102.65427509293683
180,All Institutions,2011-12,All Constant,20688,21593,21140,2.0221031803484335,10009.0,224.939,3.1565285981582702,109.05111524163569
181,All Institutions,2011-12,4 Year Constant,24537,25610,25073,1.2764066728601975,12531.0,224.939,3.1565285981582702,109.05111524163569
182,All Institutions,2011-12,2 Year Constant,9966,10402,10184,2.392921777599044,2512.0,224.939,3.1565285981582702,109.05111524163569
183,All Institutions,2011-12,All Current,19401,19401,19401,5.012178619756424,14516.0,224.939,3.1565285981582702,109.05111524163569
184,All Institutions,2011-12,4 Year Current,23011,23011,23011,4.244812902056716,17507.0,224.939,3.1565285981582702,109.05111524163569
185,All Institutions,2011-12,2 Year Current,9347,9347,9347,5.401443391971128,5980.0,224.939,3.1565285981582702,109.05111524163569
186,All Institutions,2012-13,All Constant,21222,22150,21686,2.5827814569536534,10555.0,229.594,2.0694499397614363,113.37732342007436
187,All Institutions,2012-13,4 Year Constant,25037,26132,25584,2.038048897220124,13042.0,229.594,2.0694499397614363,113.37732342007436
188,All Institutions,2012-13,2 Year Constant,10041,10480,10260,0.746268656716409,2588.0,229.594,2.0694499397614363,113.37732342007436
189,All Institutions,2012-13,All Current,20233,20233,20233,4.288438740271117,15348.0,229.594,2.0694499397614363,113.37732342007436
190,All Institutions,2012-13,4 Year Current,23871,23871,23871,3.7373430098648575,18367.0,229.594,2.0694499397614363,113.37732342007436
191,All Institutions,2012-13,2 Year Current,9573,9573,9573,2.4178880924360824,6206.0,229.594,2.0694499397614363,113.37732342007436
192,Public,2012-13,All Constant,15755,16444,16099,23.581791663468188,7961.0,229.594,2.0694499397614363,113.37732342007436
193,Public,2012-13,4 Year Constant,18328,19130,18729,24.131760339342524,9937.0,229.594,2.0694499397614363,113.37732342007436
194,Public,2012-13,2 Year Constant,9363,9773,9568,18.284089504265054,2776.0,229.594,2.0694499397614363,113.37732342007436
195,Public,2012-13,All Current,15021,15021,15021,43.686627128371924,11450.0,229.594,2.0694499397614363,113.37732342007436
196,Public,2012-13,4 Year Current,17475,17475,17475,44.32606541129831,13616.0,229.594,2.0694499397614363,113.37732342007436
197,Public,2012-13,2 Year Current,8927,8927,8927,37.50770178681455,5946.0,229.594,2.0694499397614363,113.37732342007436
198,All Institutions,2013-14,All Constant,21682,22630,22156,2.167296873558988,11025.0,232.957,1.4647595320435247,116.50278810408923
199,All Institutions,2013-14,4 Year Constant,25509,26625,26067,1.8878986866791791,13525.0,232.957,1.4647595320435247,116.50278810408923
200,All Institutions,2013-14,2 Year Constant,10215,10662,10438,1.734892787524367,2766.0,232.957,1.4647595320435247,116.50278810408923
201,All Institutions,2013-14,All Current,20995,20995,20995,3.766124647852509,16110.0,232.957,1.4647595320435247,116.50278810408923
202,All Institutions,2013-14,4 Year Current,24701,24701,24701,3.4770223283482116,19197.0,232.957,1.4647595320435247,116.50278810408923
203,All Institutions,2013-14,2 Year Current,9891,9891,9891,3.321842682544651,6524.0,232.957,1.4647595320435247,116.50278810408923
204,Public,2013-14,All Constant,16140,16846,16493,2.447356978694337,8355.0,232.957,1.4647595320435247,116.50278810408923
205,Public,2013-14,4 Year Constant,18692,19509,19100,1.9808852581558067,10308.0,232.957,1.4647595320435247,116.50278810408923
206,Public,2013-14,2 Year Constant,9587,10006,9796,2.38294314381271,3004.0,232.957,1.4647595320435247,116.50278810408923
207,Public,2013-14,All Current,15628,15628,15628,4.0410092537114695,12057.0,232.957,1.4647595320435247,116.50278810408923
208,Public,2013-14,4 Year Current,18100,18100,18100,3.576537911301858,14241.0,232.957,1.4647595320435247,116.50278810408923
209,Public,2013-14,2 Year Current,9283,9283,9283,3.987901870729238,6302.0,232.957,1.4647595320435247,116.50278810408923
210,Private,2013-14,All Constant,37173,38799,37986,5.940428380187424,17741.0,232.957,1.4647595320435247,116.50278810408923
211,Private,2013-14,4 Year Constant,37797,39450,38623,6.0052147660216715,17595.0,232.957,1.4647595320435247,116.50278810408923
212,Private,2013-14,2 Year Constant,24652,25730,25191,-9.993568672288122,10353.0,232.957,1.4647595320435247,116.50278810408923
213,Private,2013-14,All Current,35995,35995,35995,14.84955808685109,27110.0,232.957,1.4647595320435247,116.50278810408923
214,Private,2013-14,4 Year Current,36599,36599,36599,14.921342669639204,26671.0,232.957,1.4647595320435247,116.50278810408923
215,Private,2013-14,2 Year Current,23870,23870,23870,-2.42406900216654,17358.0,232.957,1.4647595320435247,116.50278810408923
216,All Institutions,2014-15,All Constant,22278,23252,22765,2.7486910994764413,11634.0,236.736,1.6221877857286904,120.01486988847583
217,All Institutions,2014-15,4 Year Constant,26051,27190,26620,2.121456247362574,14078.0,236.736,1.6221877857286904,120.01486988847583
218,All Institutions,2014-15,2 Year Constant,10409,10864,10636,1.8969151178386712,2964.0,236.736,1.6221877857286904,120.01486988847583
219,All Institutions,2014-15,All Current,21729,21729,21729,3.4960704929745123,16844.0,236.736,1.6221877857286904,120.01486988847583
220,All Institutions,2014-15,4 Year Current,25409,25409,25409,2.8662807173798655,19905.0,236.736,1.6221877857286904,120.01486988847583
221,All Institutions,2014-15,2 Year Current,10153,10153,10153,2.648872712566974,6786.0,236.736,1.6221877857286904,120.01486988847583
222,Public,2014-15,All Constant,16597,17323,16960,2.831504274540708,8822.0,236.736,1.6221877857286904,120.01486988847583
223,Public,2014-15,4 Year Constant,19102,19938,19520,2.198952879581162,10728.0,236.736,1.6221877857286904,120.01486988847583
224,Public,2014-15,2 Year Constant,9828,10257,10042,2.511229073091048,3250.0,236.736,1.6221877857286904,120.01486988847583
225,Public,2014-15,All Current,16188,16188,16188,3.583312004095207,12617.0,236.736,1.6221877857286904,120.01486988847583
226,Public,2014-15,4 Year Current,18632,18632,18632,2.9392265193370237,14773.0,236.736,1.6221877857286904,120.01486988847583
